Barbara Jemec,"Me to my trainees (in the nicest possible way) ....
#plasticsurgery 
#AttentionToDetail 
#CheckAndCheckAgain"
Barbara Jemec,"“Nature is a mutable cloud which is always and never the same.”
~ Ralph Waldo Emerson

: ©  Silena Lambertini #Photography"
Barbara Jemec,"Make no mistake with or without Brexit, the #NHS will not survive another 5 years of a Tory or centrist government."
Barbara Jemec,Are you a space invader when you get behind the wheel? Latest stats show that 1 in 8 of all casualties are caused by people driving too closely to the vehicle in front. We're encouraging all drivers to avoid tailgating and to #StaySafeStayBack in our latest safety campaign.
Barbara Jemec,One of the best things you can do for your career is to become a respected expert in your field. This is achieved by holding yourself to the highest standards and being willing to put the time to develop your knowledge and skills. #GenderEquality
Barbara Jemec,"Choosing the right jacket can keep you warm but picking a trendy outfit can also be empowering 
This photo exhibition highlights why fashion is important to refugees"
Barbara Jemec,"NEW DATA:

EU immigrants contribute £2,300 more per person per year to UK coffers than does average UK citizen."
Barbara Jemec,"Many people voted Leave to reduce immigration, thinking that EU migrant workers were a drain on UK resources.

Well, how wrong they were.

Share this with anyone you know who voted Leave and ask them to reconsider. They deserve a #PeoplesVote."
Barbara Jemec,Today would have been my mom's birthday. She was a registered nurse and one of the first people to guide me to my interests in #STEM. I sadly lost her to lymphoma when I was eight but her influence on me has been great. #shecanstem
Barbara Jemec,"@PLASTAUK 
Let's Push Things Forward.
This Saturday why not strategies with @PLASTAUK whilst having your morning Tea?

Join us with zoom:

Time: Sep 22, 2018 8:30 AM London

Join from PC, Mac, Linux, iOS or Android: https://zoom.us/j/978432948 

Meeting ID: 978 432 948"
Dr. Lisa S. Bunin,Hollow/sunken Eyes and Dark circles can be multifactorial
Dr. Lisa S. Bunin,Restylane filler family (Defyne and Lyft) for chin and lower face filling
Dr. Lisa S. Bunin,Dark circles can be multifactorial
Dr. Lisa S. Bunin,Under eye bag treatment for bunched lids when smiling
Dr. Lisa S. Bunin,under eye bag treatment for bunched lids when smiling https://www.realself.com/t/7336605 
Dr. Lisa S. Bunin,"Yes, Lip filler would work for you!"
Dr. Lisa S. Bunin,Unsubscribe from unwanted emails and combine the rest into a single daily digest with @Unrollme
Dr. Lisa S. Bunin,The Funniest Tweets From Parents This Week
Dr. Lisa S. Bunin,6 Ways To Turn Old T-Shirts Into Accessories You'll Actually Wear
Dr. Lisa S. Bunin,What’s The Deal With Those Small White Bumps On Your Face?
